"Genus","Ensembl_gene_id","Farmed","Farmed","Farmed","Wild","Wild","Wild"
"Unknown",,29806,0,0,0,0,0
"Sphingobacterium","LEGAS_1651",10519,5003,13532,23938,9096,23871
"Cetobacterium",,6616,337,637,0,5,5
"Methylobacterium-Methylorubrum",,2734,1821,3951,24261,16169,32471
"Acinetobacter",,2490,826,12085,7490,675,4357
"Dietzia",,1303,160,1442,2037,29,132
"Novosphingobium",,1222,1061,2065,3383,1539,3176
"Azospirillum",,890,1391,3080,2189,765,791
"Pseudomonas",,807,1066,2252,1277,797,315
"Rheinheimera",,785,186,184,2580,696,161
"Unknown",,676,328,253,930,288,477
"Comamonas",,560,754,1914,1079,1009,431
"Unknown",,488,8614,1046,799,7328,389
"Paracoccus",,387,828,1205,1293,612,955
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",,383,245,527,557,277,289
"Dickeya",,340,87,701,54,186,148
"Flavobacterium",,279,337,1039,501,341,93
"Unknown",,275,752,1161,364,643,251
"Unknown",,271,85,557,250,221,101
"Brevundimonas",,224,377,1286,464,382,128
"Vogesella",,216,49,65,801,554,76
"Natronococcus",,189,44,467,105,240,123
"Micrococcus",,186,36,146,192,44,22
"Niveispirillum",,184,112,741,307,185,134
"Limnobacter",,138,32,40,7,0,0
"JGI_0000069-P22",,135,0,0,28,40,14
"Legionella",,132,161,70,74,67,29
"Vicinamibacteraceae",,131,191,161,857,423,878
"Lapillicoccus",,129,56,108,138,62,228
"Bacillus",,126,116,186,30,106,163
"Thermomonas",,117,2,18,0,9,25
"Unknown",,113,6,58,212,205,14
"uncultured",,107,0,0,0,0,4
"Corynebacterium",,104,135,458,242,50,5
"Cutibacterium",,89,100,79,19,150,116
"Dyadobacter",,87,111,141,62,5,15
"Nubsella",,85,128,1326,177,30,34
"Unknown",,78,75,139,554,190,220
"Duganella",,76,95,21,83,1,31
"Stenotrophomonas",,75,5329,560,335,7294,105
"Paraclostridium",,75,0,0,0,0,0
"Unknown",,70,340,72,111,22,8
"Unknown",,68,5,271,88,6,54
"Bdellovibrio",,63,110,218,128,136,70
"Chryseobacterium",,61,76,313,184,97,6
"Unknown",,59,1,0,0,0,0
"Sphingobium",,58,108,402,94,65,13
"Nocardioides",,58,5,61,204,61,268
"Sphingomonas",,56,42,112,59,45,82
"Unknown",,55,37,150,90,88,125
"Skermanella",,55,1,0,0,0,0
"Brachybacterium",,55,2,58,0,0,0
