sample-id,FG_1,FG_2,FG_3,WG_1,WG_2,WG_3
depth-1_iter-1,0,0,0,0,0,0
depth-1_iter-2,0,0,0,0,0,0
depth-1_iter-3,0,0,0,0,0,0
depth-1_iter-4,0,0,0,0,0,0
depth-1_iter-5,0,0,0,0,0,0
depth-1_iter-6,0,0,0,0,0,0
depth-1_iter-7,0,0,0,0,0,0
depth-1_iter-8,0,0,0,0,0,0
depth-1_iter-9,0,0,0,0,0,0
depth-1_iter-10,0,0,0,0,0,0
depth-9228_iter-1,3.619081349,4.913891201,5.783517461,4.117528109,4.42180297,2.951158072
depth-9228_iter-2,3.59340779,4.886178182,5.840562104,4.082866625,4.338775643,2.875008658
depth-9228_iter-3,3.624719155,4.835665687,5.839747021,4.079262313,4.356410127,2.95906434
depth-9228_iter-4,3.647473503,4.867456569,5.868805733,4.094730375,4.43550729,2.94429803
depth-9228_iter-5,3.639169014,4.889488931,5.857694684,4.109586047,4.402943967,2.927797606
depth-9228_iter-6,3.630575098,4.862677546,5.820408882,4.120436763,4.321086452,2.956303554
depth-9228_iter-7,3.625996225,4.860229012,5.857071373,4.111461181,4.379510966,2.922563699
depth-9228_iter-8,3.613938323,4.962525293,5.903239043,4.080831296,4.404583555,2.976048631
depth-9228_iter-9,3.61014268,4.86971473,5.894429753,4.154626299,4.346504276,2.981845235
depth-9228_iter-10,3.6529471,4.796711038,5.870992118,4.14059769,4.336350682,2.97798371
depth-18456_iter-1,3.666984341,4.917706985,5.881090531,4.161024627,4.412625998,2.925450101
depth-18456_iter-2,3.651282469,4.884914453,5.890093908,4.104408794,4.387083959,2.970158319
depth-18456_iter-3,3.614609176,4.931266453,5.893993043,4.110650044,4.380605415,2.983076528
depth-18456_iter-4,3.687727997,4.871464142,5.852706526,4.133013763,4.39517308,2.978971147
depth-18456_iter-5,3.665082459,4.91570425,5.905090322,4.128930817,4.38199158,2.950798735
depth-18456_iter-6,3.637763747,4.918601295,5.861237631,4.134674514,4.422318067,2.980875606
depth-18456_iter-7,3.654311103,4.892944905,5.854069813,4.150432706,4.426234215,2.958651239
depth-18456_iter-8,3.642603625,4.888795313,5.884806312,4.143739897,4.440311159,2.984182999
depth-18456_iter-9,3.673735236,4.90879646,5.88984643,4.16418465,4.417323204,2.952249246
depth-18456_iter-10,3.655090869,4.901862366,5.885920855,4.138605602,4.381525494,2.930074745
depth-27683_iter-1,3.678649668,4.93746126,5.91870439,4.171193385,4.431240424,2.983769035
depth-27683_iter-2,3.644979986,4.937068788,5.889187726,4.150094641,4.425924508,2.964308446
depth-27683_iter-3,3.644939837,4.922373835,5.896575358,4.13735662,4.428646203,2.976868039
depth-27683_iter-4,3.657771583,4.924282257,5.923221493,4.144142579,4.408120716,2.957275862
